geoid	state	county	name	type	parent_geoid	population	population_year	latitude	longitude	canonical_slug	source
2300102060	ME	Androscoggin County	Auburn	city		25200	2024	44.084537	-70.249649	me-auburn	census-gazetteer-2023-cousubs
2300119105	ME	Androscoggin County	Durham	town		4355	2024	43.956021	-70.132418	me-durham	census-gazetteer-2023-cousubs
2300129255	ME	Androscoggin County	Greene	town		4492	2024	44.189754	-70.145088	me-greene	census-gazetteer-2023-cousubs
2300138565	ME	Androscoggin County	Leeds	town		2362	2024	44.295351	-70.133074	me-leeds	census-gazetteer-2023-cousubs
2300138740	ME	Androscoggin County	Lewiston	city		38772	2024	44.089513	-70.172095	me-lewiston	census-gazetteer-2023-cousubs
2300140035	ME	Androscoggin County	Lisbon	town		9814	2024	44.019495	-70.078932	me-lisbon	census-gazetteer-2023-cousubs
2300140665	ME	Androscoggin County	Livermore	town		2190	2024	44.411638	-70.216186	me-livermore	census-gazetteer-2023-cousubs
2300140770	ME	Androscoggin County	Livermore Falls	town		3173	2024	44.445337	-70.138076	me-livermore-falls	census-gazetteer-2023-cousubs
2300144585	ME	Androscoggin County	Mechanic Falls	town		3196	2024	44.104897	-70.40468	me-mechanic-falls	census-gazetteer-2023-cousubs
2300146160	ME	Androscoggin County	Minot	town		2826	2024	44.13794	-70.336334	me-minot	census-gazetteer-2023-cousubs
2300160020	ME	Androscoggin County	Poland	town		6010	2024	44.048106	-70.393563	me-poland	census-gazetteer-2023-cousubs
2300164570	ME	Androscoggin County	Sabattus	town		5213	2024	44.093907	-70.07199	me-sabattus	census-gazetteer-2023-cousubs
2300177800	ME	Androscoggin County	Turner	town		6013	2024	44.267103	-70.246528	me-turner	census-gazetteer-2023-cousubs
2300179585	ME	Androscoggin County	Wales	town		1656	2024	44.150923	-70.062479	me-wales	census-gazetteer-2023-cousubs
2300300800	ME	Aroostook County	Allagash	town		233	2024	47.094144	-69.102951	me-allagash	census-gazetteer-2023-cousubs
2300301220	ME	Aroostook County	Amity	town		251	2024	45.91338	-67.84543	me-amity	census-gazetteer-2023-cousubs
2300301710	ME	Aroostook County	Ashland	town		1194	2024	46.650441	-68.388373	me-ashland	census-gazetteer-2023-cousubs
2300302762	ME	Aroostook County	Bancroft	unorganized_territory		57	2024	45.691841	-67.969109	me-bancroft	census-gazetteer-2023-cousubs
2300305385	ME	Aroostook County	Blaine	town		661	2024	46.487558	-67.847123	me-blaine	census-gazetteer-2023-cousubs
2300307065	ME	Aroostook County	Bridgewater	town		526	2024	46.413515	-67.849155	me-bridgewater	census-gazetteer-2023-cousubs
2300310565	ME	Aroostook County	Caribou	city		7328	2024	46.836549	-67.936056	me-caribou	census-gazetteer-2023-cousubs
2300311300	ME	Aroostook County	Castle Hill	town		369	2024	46.698386	-68.227161	me-castle-hill	census-gazetteer-2023-cousubs
2300311335	ME	Aroostook County	Caswell	town		291	2024	47.018066	-67.863579	me-caswell	census-gazetteer-2023-cousubs
2300311785	ME	Aroostook County	Central Aroostook	unorganized_territory		163	2024	46.391745	-68.206035	me-central-aroostook	census-gazetteer-2023-cousubs
2300312000	ME	Aroostook County	Chapman	town		494	2024	46.599297	-68.119375	me-chapman	census-gazetteer-2023-cousubs
2300313900	ME	Aroostook County	Connor	unorganized_territory		417	2024	47.009736	-67.992503	me-connor	census-gazetteer-2023-cousubs
2300315395	ME	Aroostook County	Crystal	town		246	2024	45.989099	-68.383586	me-crystal	census-gazetteer-2023-cousubs
2300315990	ME	Aroostook County	Cyr	plantation		78	2024	47.080985	-68.005154	me-cyr	census-gazetteer-2023-cousubs
2300319210	ME	Aroostook County	Dyer Brook	town		214	2024	46.092111	-68.249582	me-dyer-brook	census-gazetteer-2023-cousubs
